Area,Locality,Colony,Lane,Area (sq.ft.),BHK,Bathrooms,Furnishing Status,Distance to School (km),Distance to Hospital (km),Distance to Metro (km),Age of Property (years),Price (Lakhs),Full Address,Latitude,Longitude
Kothrud,Ideal Colony,Colony 1,Lane No. 3,608,4,3,Semi-Furnished,1.22,3.87,2.09,16,21.95,"Ideal Colony, Kothrud, Pune, Maharashtra, India",18.5090654,73.81686178
Bibwewadi,Shree Colony,Colony 1,Lane No. 4,721,1,1,Furnished,4.18,1.25,5.77,14,5.96,"Shree Colony, Bibwewadi, Pune, Maharashtra, India",18.494582,73.875732
Kondhwa,Yewalewadi,Colony 2,Lane No. 1,1295,4,3,Semi-Furnished,1.95,1.05,4.4,1,39.08,"Yewalewadi, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Katraj,Gokulnagar,Colony 3,Lane No. 3,1328,4,3,Furnished,3.79,1.9,2.36,9,77,"Gokulnagar, Katraj, Pune, Maharashtra, India",18.453223,73.857472
Kondhwa,Salisbury Park,Colony 3,Lane No. 1,1143,4,3,Furnished,2.34,1.74,5.42,11,35.25,"Salisbury Park, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Katraj,Bharti Vidyapeeth Campus,Colony 1,Lane No. 2,1529,3,3,Semi-Furnished,3.13,2.04,5.7,6,37.14,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Wakad,Kalewadi Phata,Colony 7,Lane No. 4,2357,2,2,Unfurnished,0.82,0.69,5.52,9,54.32,"Kalewadi Phata, Wakad, Pune, Maharashtra, India",18.6039604,73.777045
Katraj,Gokulnagar,Colony 3,Lane No. 5,2568,5,3,Unfurnished,4.76,1.23,2.48,4,136.08,"Gokulnagar, Katraj, Pune, Maharashtra, India",18.453223,73.857472
Kothrud,Karve Nagar,Colony 3,Lane No. 1,1785,2,2,Unfurnished,2.93,1.53,4.26,15,35.84,"Karve Nagar, Kothrud, Pune, Maharashtra, India",18.5011478,73.814381
Viman Nagar,Mhada Colony,Colony 4,Lane No. 2,2732,4,3,Unfurnished,4.8,3.89,3.36,2,75.9,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Hadapsar,Magarpatta City,Colony 2,Lane No. 5,420,4,3,Unfurnished,1.58,2.15,5.19,2,11.88,"Magarpatta City, Hadapsar, Pune, Maharashtra, India",18.509502,73.929598
Bibwewadi,Market Yard,Colony 5,Lane No. 2,2080,2,2,Unfurnished,4.01,2.6,5.78,13,33.58,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Baner,Pashan Link Road,Colony 4,Lane No. 4,2565,1,1,Unfurnished,2.66,2.78,1.31,16,35.6,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Hinjewadi,Phase 3,Colony 7,Lane No. 3,1831,3,3,Unfurnished,1.18,2.49,5.32,7,69.46,"Phase 3, Hinjewadi, Pune, Maharashtra, India",18.595072,73.730659
Kondhwa,Salisbury Park,Colony 7,Lane No. 4,605,4,3,Furnished,0.84,2.91,4.78,11,29.61,"Salisbury Park, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Hadapsar,Magarpatta City,Colony 4,Lane No. 1,1912,2,2,Furnished,4.99,1.46,1.95,13,32.9,"Magarpatta City, Hadapsar, Pune, Maharashtra, India",18.509502,73.929598
Baner,Veerbhadra Nagar,Colony 3,Lane No. 4,1609,4,3,Furnished,4.88,3.32,2.79,12,71.44,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Hinjewadi,Phase 1,Colony 3,Lane No. 4,2346,3,3,Unfurnished,2.95,1.71,2.25,13,83.15,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Aundh,Parihar Chowk,Colony 7,Lane No. 1,841,2,2,Furnished,1.61,2.94,2.91,1,11.2,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Kondhwa,Yewalewadi,Colony 7,Lane No. 1,1555,3,3,Semi-Furnished,1.67,2.64,4.77,13,25.21,"Yewalewadi, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Kondhwa,NIBM Road,Colony 5,Lane No. 2,557,3,3,Semi-Furnished,1.4,3.81,5.43,4,17.38,"NIBM Road, Kondhwa, Pune, Maharashtra, India",18.4648441,73.9028846
Aundh,Parihar Chowk,Colony 5,Lane No. 3,1066,2,2,Unfurnished,4.92,3.52,3.07,9,28.15,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Hinjewadi,Phase 1,Colony 1,Lane No. 1,2960,3,3,Unfurnished,0.72,3.89,3.28,6,108.74,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Baner,Veerbhadra Nagar,Colony 6,Lane No. 5,1619,4,3,Semi-Furnished,3.27,2.09,1.62,13,85.47,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Kondhwa,NIBM Road,Colony 7,Lane No. 1,2158,5,3,Furnished,0.87,2.58,4.42,11,93.67,"NIBM Road, Kondhwa, Pune, Maharashtra, India",18.4648441,73.9028846
Bibwewadi,Market Yard,Colony 3,Lane No. 2,1546,4,3,Furnished,1.32,0.74,5.79,4,50.55,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Bibwewadi,Market Yard,Colony 7,Lane No. 3,2502,4,3,Unfurnished,3.81,1.63,5.26,1,71.81,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Wakad,Datta Mandir Road,Colony 7,Lane No. 2,1062,1,1,Furnished,4.35,1.2,2.08,14,6.72,"Datta Mandir Road, Wakad, Pune, Maharashtra, India",18.5993668,73.7637019
Aundh,ITI Road,Colony 1,Lane No. 4,1701,5,3,Furnished,2.4,0.93,1.48,5,83.86,"ITI Road, Aundh, Pune, Maharashtra, India",18.5521623,73.8095846
Hinjewadi,Phase 2,Colony 6,Lane No. 4,1727,4,3,Furnished,2.35,2.28,2.8,3,102.84,"Phase 2, Hinjewadi, Pune, Maharashtra, India",18.591748,73.738707
Kothrud,Karve Nagar,Colony 4,Lane No. 5,770,1,1,Semi-Furnished,3.89,3.44,2.81,16,6.73,"Karve Nagar, Kothrud, Pune, Maharashtra, India",18.5011478,73.814381
Kothrud,Ideal Colony,Colony 1,Lane No. 4,1781,4,3,Semi-Furnished,4.46,2.53,3.88,13,80.55,"Ideal Colony, Kothrud, Pune, Maharashtra, India",18.5090654,73.81686178
Viman Nagar,Mhada Colony,Colony 1,Lane No. 3,2901,1,1,Semi-Furnished,2.42,2.74,3.8,12,24.03,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Kondhwa,NIBM Road,Colony 4,Lane No. 4,1877,1,1,Unfurnished,4.91,2.43,4.79,20,22.35,"NIBM Road, Kondhwa, Pune, Maharashtra, India",18.4648441,73.9028846
Aundh,Parihar Chowk,Colony 2,Lane No. 5,2513,1,1,Unfurnished,1.44,2.79,2.89,4,31.62,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Katraj,Gokulnagar,Colony 7,Lane No. 5,1273,5,3,Semi-Furnished,0.84,3.83,3.43,0,74.61,"Gokulnagar, Katraj, Pune, Maharashtra, India",18.453223,73.857472
Bibwewadi,Shree Colony,Colony 2,Lane No. 3,469,1,1,Furnished,0.52,2.48,5.77,11,4.06,"Shree Colony, Bibwewadi, Pune, Maharashtra, India",18.494582,73.875732
Bibwewadi,Shree Colony,Colony 1,Lane No. 3,950,4,3,Unfurnished,1.76,3.83,2.48,5,32.87,"Shree Colony, Bibwewadi, Pune, Maharashtra, India",18.494582,73.875732
Viman Nagar,Mhada Colony,Colony 5,Lane No. 5,2731,3,3,Semi-Furnished,0.67,1.79,4.72,7,100.86,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Wakad,Jambulkar Nagar,Colony 1,Lane No. 5,408,3,3,Semi-Furnished,2.71,1.06,3.45,13,8.99,"Jambulkar Nagar, Wakad, Pune, Maharashtra, India",18.519479,73.870703
Aundh,Parihar Chowk,Colony 5,Lane No. 5,2664,5,3,Furnished,4.03,2.46,4.7,16,109.67,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Aundh,ITI Road,Colony 6,Lane No. 5,494,4,3,Semi-Furnished,0.66,2.32,1.02,20,18.3,"ITI Road, Aundh, Pune, Maharashtra, India",18.5521623,73.8095846
Hinjewadi,Phase 3,Colony 3,Lane No. 5,2071,4,3,Furnished,3.94,1.78,5.96,18,78.12,"Phase 3, Hinjewadi, Pune, Maharashtra, India",18.595072,73.730659
Hadapsar,Gadital,Colony 5,Lane No. 1,2353,1,1,Furnished,2.75,3.65,3.64,1,28.48,"Gadital, Hadapsar, Pune, Maharashtra, India",18.500313,73.939271
Viman Nagar,Mhada Colony,Colony 7,Lane No. 5,2240,1,1,Furnished,4.72,0.55,3.96,1,14.39,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Kothrud,Paud Road,Colony 6,Lane No. 2,1118,2,2,Semi-Furnished,1.47,1.99,2.81,12,28.37,"Paud Road, Kothrud, Pune, Maharashtra, India",18.5074254,73.7996581
Bibwewadi,Market Yard,Colony 7,Lane No. 3,1935,4,3,Unfurnished,0.89,3.22,3.18,2,75.33,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Katraj,Bharti Vidyapeeth Campus,Colony 3,Lane No. 5,2288,5,3,Semi-Furnished,0.9,1.47,3.03,1,131.33,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Hadapsar,Magarpatta City,Colony 6,Lane No. 3,1750,1,1,Unfurnished,3.68,3.41,5.19,16,15.57,"Magarpatta City, Hadapsar, Pune, Maharashtra, India",18.509502,73.929598
Kothrud,Ideal Colony,Colony 4,Lane No. 4,2514,2,2,Semi-Furnished,3.74,0.62,5.66,20,47.22,"Ideal Colony, Kothrud, Pune, Maharashtra, India",18.5090654,73.81686178
Bibwewadi,Market Yard,Colony 4,Lane No. 2,1417,1,1,Unfurnished,2.04,1.53,3.86,5,18.78,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Viman Nagar,Lunkad Colony,Colony 7,Lane No. 1,2077,4,3,Unfurnished,2.76,2.5,3.53,1,104.15,"Lunkad Colony, Viman Nagar, Pune, Maharashtra, India",18.541879,73.906953
Viman Nagar,Mhada Colony,Colony 6,Lane No. 1,1921,2,2,Furnished,0.82,2.16,4.46,1,44.65,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Bibwewadi,Shree Colony,Colony 5,Lane No. 2,1910,5,3,Unfurnished,2.73,0.61,1.48,12,123.87,"Shree Colony, Bibwewadi, Pune, Maharashtra, India",18.494582,73.875732
Bibwewadi,Shree Colony,Colony 4,Lane No. 4,1602,2,2,Unfurnished,3.9,1.64,3.13,11,38.85,"Shree Colony, Bibwewadi, Pune, Maharashtra, India",18.494582,73.875732
Baner,Pashan Link Road,Colony 7,Lane No. 3,2326,5,3,Unfurnished,4.47,3.88,4.05,1,167.69,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Aundh,ITI Road,Colony 2,Lane No. 2,2704,5,3,Semi-Furnished,2.73,1.53,1.84,4,117.86,"ITI Road, Aundh, Pune, Maharashtra, India",18.5521623,73.8095846
Baner,Veerbhadra Nagar,Colony 6,Lane No. 2,1255,1,1,Semi-Furnished,3.01,2.33,4.5,17,6.57,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Hadapsar,Amanora Park Town,Colony 7,Lane No. 2,1860,1,1,Unfurnished,4.21,1.6,3.69,1,13.47,"Amanora Park Town, Hadapsar, Pune, Maharashtra, India",18.477032,73.927276
Katraj,Bharti Vidyapeeth Campus,Colony 7,Lane No. 3,1875,4,3,Semi-Furnished,2.85,0.51,3.67,20,77.05,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Hinjewadi,Phase 2,Colony 6,Lane No. 4,1344,5,3,Unfurnished,3.34,1.46,4.41,13,34.07,"Phase 2, Hinjewadi, Pune, Maharashtra, India",18.591748,73.738707
Wakad,Jambulkar Nagar,Colony 2,Lane No. 1,1905,4,3,Furnished,0.61,3.11,2.04,20,40.81,"Jambulkar Nagar, Wakad, Pune, Maharashtra, India",18.519479,73.870703
Katraj,Vignaharta Colony,Colony 3,Lane No. 2,748,5,3,Furnished,1.25,0.98,5.14,9,49.39,"Vignaharta Colony, Katraj, Pune, Maharashtra, India",19.169322,73.044622
Bibwewadi,Market Yard,Colony 5,Lane No. 1,405,1,1,Semi-Furnished,4.39,0.96,4.86,4,2.7,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Wakad,Datta Mandir Road,Colony 4,Lane No. 3,1250,2,2,Unfurnished,3.53,2.29,4.47,12,25.03,"Datta Mandir Road, Wakad, Pune, Maharashtra, India",18.5993668,73.7637019
Katraj,Vignaharta Colony,Colony 5,Lane No. 4,2833,3,3,Unfurnished,4.46,1.26,1.18,5,120.82,"Vignaharta Colony, Katraj, Pune, Maharashtra, India",19.169322,73.044622
Kondhwa,Salisbury Park,Colony 2,Lane No. 3,1928,1,1,Semi-Furnished,1.15,1.02,5.61,12,23.89,"Salisbury Park, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Kothrud,Ideal Colony,Colony 6,Lane No. 5,960,2,2,Unfurnished,3.72,3.38,2.45,19,28.16,"Ideal Colony, Kothrud, Pune, Maharashtra, India",18.5090654,73.81686178
Baner,Pashan Link Road,Colony 5,Lane No. 1,1417,2,2,Unfurnished,1.67,1.9,5.36,8,41.89,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Baner,Veerbhadra Nagar,Colony 2,Lane No. 4,707,5,3,Furnished,2.57,3.71,5.3,0,30.04,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Bibwewadi,Market Yard,Colony 3,Lane No. 4,2278,2,2,Semi-Furnished,2.34,0.64,3.69,16,32.29,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Aundh,ITI Road,Colony 6,Lane No. 4,1476,2,2,Semi-Furnished,1.87,3.15,4.95,15,23.37,"ITI Road, Aundh, Pune, Maharashtra, India",18.5521623,73.8095846
Aundh,ITI Road,Colony 4,Lane No. 2,1473,5,3,Semi-Furnished,2.13,3.02,1.38,6,90.54,"ITI Road, Aundh, Pune, Maharashtra, India",18.5521623,73.8095846
Viman Nagar,Mhada Colony,Colony 7,Lane No. 2,2031,2,2,Furnished,1.94,2.56,4.42,8,36.21,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Wakad,Jambulkar Nagar,Colony 1,Lane No. 4,1030,3,3,Semi-Furnished,1.97,3.39,5.48,13,20.87,"Jambulkar Nagar, Wakad, Pune, Maharashtra, India",18.519479,73.870703
Bibwewadi,Vishwakarma Nagar,Colony 6,Lane No. 5,2210,4,3,Semi-Furnished,1.98,2.39,1.28,6,128.44,"Vishwakarma Nagar, Bibwewadi, Pune, Maharashtra, India",18.463746,73.868518
Aundh,Baner Pashan Link,Colony 4,Lane No. 5,1414,2,2,Semi-Furnished,1.18,1.63,1.43,16,37.74,"Baner Pashan Link, Aundh, Pune, Maharashtra, India",18.5518199,73.7943072
Kondhwa,Yewalewadi,Colony 3,Lane No. 1,2597,1,1,Furnished,0.81,2.39,2.09,19,30.53,"Yewalewadi, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Aundh,Parihar Chowk,Colony 5,Lane No. 2,2456,4,3,Semi-Furnished,4.59,1.53,1.45,1,77.5,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Bibwewadi,Market Yard,Colony 5,Lane No. 5,1333,3,3,Semi-Furnished,4.13,1.07,2.73,16,32,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Aundh,Parihar Chowk,Colony 1,Lane No. 2,575,2,2,Unfurnished,1.7,2.99,4.26,7,11.47,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Baner,Balewadi Phata,Colony 3,Lane No. 4,2830,4,3,Unfurnished,3.76,3.82,5.16,20,143.04,"Balewadi Phata, Baner, Pune, Maharashtra, India",18.5643011,73.7837139
Bibwewadi,Market Yard,Colony 7,Lane No. 3,522,2,2,Unfurnished,3.28,3.27,3.22,2,6.21,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Wakad,Datta Mandir Road,Colony 4,Lane No. 2,1575,3,3,Furnished,1.86,2.74,2.06,7,32.6,"Datta Mandir Road, Wakad, Pune, Maharashtra, India",18.5993668,73.7637019
Kothrud,Karve Nagar,Colony 5,Lane No. 5,1957,5,3,Furnished,3.39,3.73,5.23,11,103.81,"Karve Nagar, Kothrud, Pune, Maharashtra, India",18.5011478,73.814381
Kothrud,Karve Nagar,Colony 6,Lane No. 1,1303,3,3,Furnished,4.02,3.45,4.35,0,46.52,"Karve Nagar, Kothrud, Pune, Maharashtra, India",18.5011478,73.814381
Bibwewadi,Vishwakarma Nagar,Colony 2,Lane No. 3,2434,3,3,Semi-Furnished,3.16,1.6,1.07,10,44.24,"Vishwakarma Nagar, Bibwewadi, Pune, Maharashtra, India",18.463746,73.868518
Viman Nagar,Mhada Colony,Colony 2,Lane No. 2,2139,1,1,Furnished,3.65,2.09,5.17,2,26.54,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Wakad,Kalewadi Phata,Colony 6,Lane No. 1,1483,2,2,Semi-Furnished,3,0.59,4.46,18,33.96,"Kalewadi Phata, Wakad, Pune, Maharashtra, India",18.6039604,73.777045
Baner,Veerbhadra Nagar,Colony 3,Lane No. 3,2490,2,2,Furnished,4.64,0.88,3.44,15,59.52,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Baner,Pashan Link Road,Colony 2,Lane No. 3,1126,1,1,Unfurnished,3.7,1.57,5.63,18,14.54,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Kondhwa,Yewalewadi,Colony 6,Lane No. 2,2732,1,1,Semi-Furnished,2.78,0.72,4.25,4,32.06,"Yewalewadi, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Aundh,Parihar Chowk,Colony 6,Lane No. 2,2766,3,3,Furnished,2.62,1.89,1.59,1,106.85,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Aundh,Parihar Chowk,Colony 7,Lane No. 5,2017,4,3,Furnished,2.35,1.89,4.81,14,58.44,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Hinjewadi,Phase 1,Colony 1,Lane No. 3,708,3,3,Unfurnished,3.52,0.72,2.35,2,23.21,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Aundh,Parihar Chowk,Colony 4,Lane No. 4,1915,1,1,Unfurnished,4.3,1.01,3.91,18,11.16,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Hinjewadi,Phase 1,Colony 7,Lane No. 4,2107,2,2,Furnished,2.86,1.37,2.01,9,21.76,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Viman Nagar,Mhada Colony,Colony 3,Lane No. 5,476,4,3,Semi-Furnished,0.51,0.87,2.06,1,22.63,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Aundh,ITI Road,Colony 5,Lane No. 5,601,1,1,Furnished,2.24,3.95,3.26,9,6.13,"ITI Road, Aundh, Pune, Maharashtra, India",18.5521623,73.8095846
Hinjewadi,Phase 2,Colony 5,Lane No. 2,2557,1,1,Furnished,2.69,3.89,4.92,19,36.02,"Phase 2, Hinjewadi, Pune, Maharashtra, India",18.591748,73.738707
Bibwewadi,Shree Colony,Colony 1,Lane No. 5,2915,2,2,Semi-Furnished,2.46,1.39,4.88,8,71.99,"Shree Colony, Bibwewadi, Pune, Maharashtra, India",18.494582,73.875732
Hinjewadi,Phase 2,Colony 4,Lane No. 4,2312,5,3,Unfurnished,4.95,2.21,1.14,9,127.71,"Phase 2, Hinjewadi, Pune, Maharashtra, India",18.591748,73.738707
Bibwewadi,Vishwakarma Nagar,Colony 5,Lane No. 3,993,2,2,Furnished,1.9,2.48,2.55,4,22.16,"Vishwakarma Nagar, Bibwewadi, Pune, Maharashtra, India",18.463746,73.868518
Bibwewadi,Vishwakarma Nagar,Colony 7,Lane No. 1,1240,5,3,Semi-Furnished,2.21,2.07,5.4,10,33.74,"Vishwakarma Nagar, Bibwewadi, Pune, Maharashtra, India",18.463746,73.868518
Baner,Veerbhadra Nagar,Colony 6,Lane No. 1,2229,4,3,Unfurnished,3.44,3.91,3.21,1,86.26,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Hinjewadi,Phase 1,Colony 5,Lane No. 2,1057,1,1,Furnished,2.88,2.12,1.73,11,12.89,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Wakad,Datta Mandir Road,Colony 1,Lane No. 2,2537,2,2,Furnished,2.37,2.5,2.71,1,35.31,"Datta Mandir Road, Wakad, Pune, Maharashtra, India",18.5993668,73.7637019
Aundh,Parihar Chowk,Colony 5,Lane No. 5,1916,2,2,Semi-Furnished,4.95,0.92,1.64,2,56.29,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Hadapsar,Gadital,Colony 2,Lane No. 4,1359,3,3,Furnished,3.83,2.57,5.34,11,47.28,"Gadital, Hadapsar, Pune, Maharashtra, India",18.500313,73.939271
Hadapsar,Gadital,Colony 6,Lane No. 2,2993,4,3,Furnished,2.05,2.91,4.63,3,75.99,"Gadital, Hadapsar, Pune, Maharashtra, India",18.500313,73.939271
Kondhwa,Salisbury Park,Colony 5,Lane No. 4,2086,3,3,Semi-Furnished,4.3,0.66,4.29,10,41.05,"Salisbury Park, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Baner,Pashan Link Road,Colony 5,Lane No. 3,1933,2,2,Unfurnished,1.02,1.9,4.38,20,20.09,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Katraj,Bharti Vidyapeeth Campus,Colony 2,Lane No. 5,2627,3,3,Semi-Furnished,3.9,1.41,2.52,4,59.15,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Katraj,Gokulnagar,Colony 5,Lane No. 3,1718,5,3,Furnished,1.77,3.69,5.91,12,112.8,"Gokulnagar, Katraj, Pune, Maharashtra, India",18.453223,73.857472
Baner,Veerbhadra Nagar,Colony 6,Lane No. 2,631,4,3,Furnished,3.46,1.02,3.62,13,13.94,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Katraj,Bharti Vidyapeeth Campus,Colony 5,Lane No. 1,1128,5,3,Unfurnished,4.61,1.98,2.47,20,74.79,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Hinjewadi,Phase 3,Colony 2,Lane No. 4,566,1,1,Semi-Furnished,2.27,2.87,2.21,13,3.69,"Phase 3, Hinjewadi, Pune, Maharashtra, India",18.595072,73.730659
Wakad,Datta Mandir Road,Colony 3,Lane No. 1,1194,5,3,Furnished,2.59,1.57,3.62,18,74.92,"Datta Mandir Road, Wakad, Pune, Maharashtra, India",18.5993668,73.7637019
Baner,Balewadi Phata,Colony 1,Lane No. 3,1469,1,1,Furnished,2.84,0.54,5.34,7,15.13,"Balewadi Phata, Baner, Pune, Maharashtra, India",18.5643011,73.7837139
Aundh,Baner Pashan Link,Colony 3,Lane No. 2,492,3,3,Furnished,2.87,1.51,5.68,15,21.33,"Baner Pashan Link, Aundh, Pune, Maharashtra, India",18.5518199,73.7943072
Wakad,Jambulkar Nagar,Colony 4,Lane No. 3,1441,4,3,Unfurnished,3.26,2,3.85,14,82.17,"Jambulkar Nagar, Wakad, Pune, Maharashtra, India",18.519479,73.870703
Aundh,Parihar Chowk,Colony 5,Lane No. 3,2846,2,2,Furnished,2.5,3.89,1.03,9,80.63,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Aundh,Baner Pashan Link,Colony 5,Lane No. 3,2793,1,1,Semi-Furnished,1.02,0.74,2.5,15,29,"Baner Pashan Link, Aundh, Pune, Maharashtra, India",18.5518199,73.7943072
Katraj,Bharti Vidyapeeth Campus,Colony 7,Lane No. 2,1821,4,3,Furnished,0.52,1.61,1.82,1,39.96,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Baner,Pashan Link Road,Colony 6,Lane No. 3,1448,4,3,Furnished,1.16,1.83,4.59,13,80.07,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Aundh,Baner Pashan Link,Colony 7,Lane No. 3,1783,3,3,Furnished,3.39,3.8,1.63,0,71.53,"Baner Pashan Link, Aundh, Pune, Maharashtra, India",18.5518199,73.7943072
Bibwewadi,Shree Colony,Colony 6,Lane No. 3,400,2,2,Unfurnished,4.59,3.27,3.61,18,9.4,"Shree Colony, Bibwewadi, Pune, Maharashtra, India",18.494582,73.875732
Hinjewadi,Phase 1,Colony 1,Lane No. 2,1440,4,3,Unfurnished,4.85,1.59,3.94,19,71.82,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Hadapsar,Amanora Park Town,Colony 3,Lane No. 2,1570,2,2,Furnished,4.56,0.75,1.42,13,40.08,"Amanora Park Town, Hadapsar, Pune, Maharashtra, India",18.477032,73.927276
Katraj,Bharti Vidyapeeth Campus,Colony 7,Lane No. 3,1174,3,3,Furnished,1.08,0.65,5.42,9,41.75,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Viman Nagar,Tingre Nagar,Colony 6,Lane No. 3,2903,4,3,Semi-Furnished,4.93,2.74,5.53,18,79.68,"Tingre Nagar, Viman Nagar, Pune, Maharashtra, India",18.564069,73.913894
Kondhwa,NIBM Road,Colony 3,Lane No. 5,2434,5,3,Semi-Furnished,2.85,1.44,5.26,17,61.77,"NIBM Road, Kondhwa, Pune, Maharashtra, India",18.4648441,73.9028846
Hinjewadi,Phase 1,Colony 3,Lane No. 3,1902,2,2,Furnished,1.64,1.43,2.14,19,35.71,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Aundh,Parihar Chowk,Colony 6,Lane No. 2,823,4,3,Semi-Furnished,0.83,2.23,2.43,19,22.53,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Baner,Pashan Link Road,Colony 3,Lane No. 2,496,4,3,Furnished,1.43,1.37,5.6,11,23.66,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Bibwewadi,Shree Colony,Colony 5,Lane No. 2,2566,4,3,Unfurnished,1.84,3.63,2.08,2,97.5,"Shree Colony, Bibwewadi, Pune, Maharashtra, India",18.494582,73.875732
Wakad,Jambulkar Nagar,Colony 4,Lane No. 2,2761,1,1,Furnished,2.46,1.84,5.99,18,34.96,"Jambulkar Nagar, Wakad, Pune, Maharashtra, India",18.519479,73.870703
Kondhwa,Yewalewadi,Colony 7,Lane No. 3,1347,2,2,Furnished,3.14,1.35,2.69,1,29.92,"Yewalewadi, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Viman Nagar,Mhada Colony,Colony 6,Lane No. 5,2678,4,3,Semi-Furnished,4.32,1.77,3.64,17,70.08,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
