Area,Locality,Colony,Lane,Area (sq.ft.),BHK,Bathrooms,Furnishing Status,Distance to School (km),Distance to Hospital (km),Distance to Metro (km),Age of Property (years),Price (Lakhs),Full Address,Latitude,Longitude
Hinjewadi,Phase 1,Colony 3,Lane No. 4,2346,3,3,Unfurnished,2.95,1.71,2.25,13,831.5,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Aundh,Parihar Chowk,Colony 7,Lane No. 1,841,2,2,Furnished,1.61,2.94,2.91,1,112.0,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Kondhwa,Yewalewadi,Colony 7,Lane No. 1,1555,3,3,Semi-Furnished,1.67,2.64,4.77,13,252.10000000000002,"Yewalewadi, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Kondhwa,NIBM Road,Colony 5,Lane No. 2,557,3,3,Semi-Furnished,1.4,3.81,5.43,4,173.79999999999998,"NIBM Road, Kondhwa, Pune, Maharashtra, India",18.4648441,73.9028846
Aundh,Parihar Chowk,Colony 5,Lane No. 3,1066,2,2,Unfurnished,4.92,3.52,3.07,9,281.5,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Hinjewadi,Phase 1,Colony 1,Lane No. 1,2960,3,3,Unfurnished,0.72,3.89,3.28,6,1087.3999999999999,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Baner,Veerbhadra Nagar,Colony 6,Lane No. 5,1619,4,3,Semi-Furnished,3.27,2.09,1.62,13,854.7,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Kondhwa,NIBM Road,Colony 7,Lane No. 1,2158,5,3,Furnished,0.87,2.58,4.42,11,936.7,"NIBM Road, Kondhwa, Pune, Maharashtra, India",18.4648441,73.9028846
Bibwewadi,Market Yard,Colony 3,Lane No. 2,1546,4,3,Furnished,1.32,0.74,5.79,4,505.5,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Bibwewadi,Market Yard,Colony 7,Lane No. 3,2502,4,3,Unfurnished,3.81,1.63,5.26,1,718.1,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Wakad,Datta Mandir Road,Colony 7,Lane No. 2,1062,1,1,Furnished,4.35,1.2,2.08,14,67.2,"Datta Mandir Road, Wakad, Pune, Maharashtra, India",18.5993668,73.7637019
Aundh,ITI Road,Colony 1,Lane No. 4,1701,5,3,Furnished,2.4,0.93,1.48,5,838.6,"ITI Road, Aundh, Pune, Maharashtra, India",18.5521623,73.8095846
Hinjewadi,Phase 2,Colony 6,Lane No. 4,1727,4,3,Furnished,2.35,2.28,2.8,3,1028.4,"Phase 2, Hinjewadi, Pune, Maharashtra, India",18.591748,73.738707
Kothrud,Karve Nagar,Colony 4,Lane No. 5,770,1,1,Semi-Furnished,3.89,3.44,2.81,16,67.30000000000001,"Karve Nagar, Kothrud, Pune, Maharashtra, India",18.5011478,73.814381
Kothrud,Ideal Colony,Colony 1,Lane No. 4,1781,4,3,Semi-Furnished,4.46,2.53,3.88,13,805.5,"Ideal Colony, Kothrud, Pune, Maharashtra, India",18.5090654,73.81686178
Viman Nagar,Mhada Colony,Colony 1,Lane No. 3,2901,1,1,Semi-Furnished,2.42,2.74,3.8,12,240.3,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Kondhwa,NIBM Road,Colony 4,Lane No. 4,1877,1,1,Unfurnished,4.91,2.43,4.79,20,223.5,"NIBM Road, Kondhwa, Pune, Maharashtra, India",18.4648441,73.9028846
Aundh,Parihar Chowk,Colony 2,Lane No. 5,2513,1,1,Unfurnished,1.44,2.79,2.89,4,316.2,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Katraj,Gokulnagar,Colony 7,Lane No. 5,1273,5,3,Semi-Furnished,0.84,3.83,3.43,0,746.1,"Gokulnagar, Katraj, Pune, Maharashtra, India",18.453223,73.857472
Bibwewadi,Shree Colony,Colony 2,Lane No. 3,469,1,1,Furnished,0.52,2.48,5.77,11,40.599999999999994,"Shree Colony, Bibwewadi, Pune, Maharashtra, India",18.494582,73.875732
Bibwewadi,Shree Colony,Colony 1,Lane No. 3,950,4,3,Unfurnished,1.76,3.83,2.48,5,328.7,"Shree Colony, Bibwewadi, Pune, Maharashtra, India",18.494582,73.875732
Viman Nagar,Mhada Colony,Colony 5,Lane No. 5,2731,3,3,Semi-Furnished,0.67,1.79,4.72,7,1008.6,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Wakad,Jambulkar Nagar,Colony 1,Lane No. 5,408,3,3,Semi-Furnished,2.71,1.06,3.45,13,89.9,"Jambulkar Nagar, Wakad, Pune, Maharashtra, India",18.519479,73.870703
Aundh,Parihar Chowk,Colony 5,Lane No. 5,2664,5,3,Furnished,4.03,2.46,4.7,16,1096.7,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Aundh,ITI Road,Colony 6,Lane No. 5,494,4,3,Semi-Furnished,0.66,2.32,1.02,20,183.0,"ITI Road, Aundh, Pune, Maharashtra, India",18.5521623,73.8095846
Hinjewadi,Phase 3,Colony 3,Lane No. 5,2071,4,3,Furnished,3.94,1.78,5.96,18,781.2,"Phase 3, Hinjewadi, Pune, Maharashtra, India",18.595072,73.730659
Hadapsar,Gadital,Colony 5,Lane No. 1,2353,1,1,Furnished,2.75,3.65,3.64,1,284.8,"Gadital, Hadapsar, Pune, Maharashtra, India",18.500313,73.939271
Viman Nagar,Mhada Colony,Colony 7,Lane No. 5,2240,1,1,Furnished,4.72,0.55,3.96,1,143.9,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Kothrud,Paud Road,Colony 6,Lane No. 2,1118,2,2,Semi-Furnished,1.47,1.99,2.81,12,283.7,"Paud Road, Kothrud, Pune, Maharashtra, India",18.5074254,73.7996581
Bibwewadi,Market Yard,Colony 7,Lane No. 3,1935,4,3,Unfurnished,0.89,3.22,3.18,2,753.3,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Katraj,Bharti Vidyapeeth Campus,Colony 3,Lane No. 5,2288,5,3,Semi-Furnished,0.9,1.47,3.03,1,1313.3000000000002,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Hadapsar,Magarpatta City,Colony 6,Lane No. 3,1750,1,1,Unfurnished,3.68,3.41,5.19,16,155.7,"Magarpatta City, Hadapsar, Pune, Maharashtra, India",18.509502,73.929598
Kothrud,Ideal Colony,Colony 4,Lane No. 4,2514,2,2,Semi-Furnished,3.74,0.62,5.66,20,472.2,"Ideal Colony, Kothrud, Pune, Maharashtra, India",18.5090654,73.81686178
Bibwewadi,Market Yard,Colony 4,Lane No. 2,1417,1,1,Unfurnished,2.04,1.53,3.86,5,187.8,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Viman Nagar,Lunkad Colony,Colony 7,Lane No. 1,2077,4,3,Unfurnished,2.76,2.5,3.53,1,1041.5,"Lunkad Colony, Viman Nagar, Pune, Maharashtra, India",18.541879,73.906953
Viman Nagar,Mhada Colony,Colony 6,Lane No. 1,1921,2,2,Furnished,0.82,2.16,4.46,1,446.5,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Bibwewadi,Shree Colony,Colony 5,Lane No. 2,1910,5,3,Unfurnished,2.73,0.61,1.48,12,1238.7,"Shree Colony, Bibwewadi, Pune, Maharashtra, India",18.494582,73.875732
Bibwewadi,Shree Colony,Colony 4,Lane No. 4,1602,2,2,Unfurnished,3.9,1.64,3.13,11,388.5,"Shree Colony, Bibwewadi, Pune, Maharashtra, India",18.494582,73.875732
Baner,Pashan Link Road,Colony 7,Lane No. 3,2326,5,3,Unfurnished,4.47,3.88,4.05,1,1676.9,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Aundh,ITI Road,Colony 2,Lane No. 2,2704,5,3,Semi-Furnished,2.73,1.53,1.84,4,1178.6,"ITI Road, Aundh, Pune, Maharashtra, India",18.5521623,73.8095846
Baner,Veerbhadra Nagar,Colony 6,Lane No. 2,1255,1,1,Semi-Furnished,3.01,2.33,4.5,17,65.7,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Hadapsar,Amanora Park Town,Colony 7,Lane No. 2,1860,1,1,Unfurnished,4.21,1.6,3.69,1,134.70000000000002,"Amanora Park Town, Hadapsar, Pune, Maharashtra, India",18.477032,73.927276
Katraj,Bharti Vidyapeeth Campus,Colony 7,Lane No. 3,1875,4,3,Semi-Furnished,2.85,0.51,3.67,20,770.5,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Hinjewadi,Phase 2,Colony 6,Lane No. 4,1344,5,3,Unfurnished,3.34,1.46,4.41,13,340.7,"Phase 2, Hinjewadi, Pune, Maharashtra, India",18.591748,73.738707
Wakad,Jambulkar Nagar,Colony 2,Lane No. 1,1905,4,3,Furnished,0.61,3.11,2.04,20,408.1,"Jambulkar Nagar, Wakad, Pune, Maharashtra, India",18.519479,73.870703
Katraj,Vignaharta Colony,Colony 3,Lane No. 2,748,5,3,Furnished,1.25,0.98,5.14,9,493.9,"Vignaharta Colony, Katraj, Pune, Maharashtra, India",19.169322,73.044622
Bibwewadi,Market Yard,Colony 5,Lane No. 1,405,1,1,Semi-Furnished,4.39,0.96,4.86,4,27.0,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Wakad,Datta Mandir Road,Colony 4,Lane No. 3,1250,2,2,Unfurnished,3.53,2.29,4.47,12,250.3,"Datta Mandir Road, Wakad, Pune, Maharashtra, India",18.5993668,73.7637019
Katraj,Vignaharta Colony,Colony 5,Lane No. 4,2833,3,3,Unfurnished,4.46,1.26,1.18,5,1208.1999999999998,"Vignaharta Colony, Katraj, Pune, Maharashtra, India",19.169322,73.044622
Kondhwa,Salisbury Park,Colony 2,Lane No. 3,1928,1,1,Semi-Furnished,1.15,1.02,5.61,12,238.9,"Salisbury Park, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Kothrud,Ideal Colony,Colony 6,Lane No. 5,960,2,2,Unfurnished,3.72,3.38,2.45,19,281.6,"Ideal Colony, Kothrud, Pune, Maharashtra, India",18.5090654,73.81686178
Baner,Pashan Link Road,Colony 5,Lane No. 1,1417,2,2,Unfurnished,1.67,1.9,5.36,8,418.9,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Baner,Veerbhadra Nagar,Colony 2,Lane No. 4,707,5,3,Furnished,2.57,3.71,5.3,0,300.4,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Bibwewadi,Market Yard,Colony 3,Lane No. 4,2278,2,2,Semi-Furnished,2.34,0.64,3.69,16,322.9,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Aundh,ITI Road,Colony 6,Lane No. 4,1476,2,2,Semi-Furnished,1.87,3.15,4.95,15,233.70000000000002,"ITI Road, Aundh, Pune, Maharashtra, India",18.5521623,73.8095846
Aundh,ITI Road,Colony 4,Lane No. 2,1473,5,3,Semi-Furnished,2.13,3.02,1.38,6,905.4000000000001,"ITI Road, Aundh, Pune, Maharashtra, India",18.5521623,73.8095846
Viman Nagar,Mhada Colony,Colony 7,Lane No. 2,2031,2,2,Furnished,1.94,2.56,4.42,8,362.1,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Wakad,Jambulkar Nagar,Colony 1,Lane No. 4,1030,3,3,Semi-Furnished,1.97,3.39,5.48,13,208.70000000000002,"Jambulkar Nagar, Wakad, Pune, Maharashtra, India",18.519479,73.870703
Bibwewadi,Vishwakarma Nagar,Colony 6,Lane No. 5,2210,4,3,Semi-Furnished,1.98,2.39,1.28,6,1284.4,"Vishwakarma Nagar, Bibwewadi, Pune, Maharashtra, India",18.463746,73.868518
Aundh,Baner Pashan Link,Colony 4,Lane No. 5,1414,2,2,Semi-Furnished,1.18,1.63,1.43,16,377.40000000000003,"Baner Pashan Link, Aundh, Pune, Maharashtra, India",18.5518199,73.7943072
Kondhwa,Yewalewadi,Colony 3,Lane No. 1,2597,1,1,Furnished,0.81,2.39,2.09,19,305.3,"Yewalewadi, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Aundh,Parihar Chowk,Colony 5,Lane No. 2,2456,4,3,Semi-Furnished,4.59,1.53,1.45,1,775.0,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Bibwewadi,Market Yard,Colony 5,Lane No. 5,1333,3,3,Semi-Furnished,4.13,1.07,2.73,16,320.0,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Aundh,Parihar Chowk,Colony 1,Lane No. 2,575,2,2,Unfurnished,1.7,2.99,4.26,7,114.7,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Baner,Balewadi Phata,Colony 3,Lane No. 4,2830,4,3,Unfurnished,3.76,3.82,5.16,20,1430.3999999999999,"Balewadi Phata, Baner, Pune, Maharashtra, India",18.5643011,73.7837139
Bibwewadi,Market Yard,Colony 7,Lane No. 3,522,2,2,Unfurnished,3.28,3.27,3.22,2,62.1,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Wakad,Datta Mandir Road,Colony 4,Lane No. 2,1575,3,3,Furnished,1.86,2.74,2.06,7,326.0,"Datta Mandir Road, Wakad, Pune, Maharashtra, India",18.5993668,73.7637019
Kothrud,Karve Nagar,Colony 5,Lane No. 5,1957,5,3,Furnished,3.39,3.73,5.23,11,1038.1,"Karve Nagar, Kothrud, Pune, Maharashtra, India",18.5011478,73.814381
Kothrud,Karve Nagar,Colony 6,Lane No. 1,1303,3,3,Furnished,4.02,3.45,4.35,0,465.20000000000005,"Karve Nagar, Kothrud, Pune, Maharashtra, India",18.5011478,73.814381
Bibwewadi,Vishwakarma Nagar,Colony 2,Lane No. 3,2434,3,3,Semi-Furnished,3.16,1.6,1.07,10,442.40000000000003,"Vishwakarma Nagar, Bibwewadi, Pune, Maharashtra, India",18.463746,73.868518
Viman Nagar,Mhada Colony,Colony 2,Lane No. 2,2139,1,1,Furnished,3.65,2.09,5.17,2,265.4,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Wakad,Kalewadi Phata,Colony 6,Lane No. 1,1483,2,2,Semi-Furnished,3.0,0.59,4.46,18,339.6,"Kalewadi Phata, Wakad, Pune, Maharashtra, India",18.6039604,73.777045
Baner,Veerbhadra Nagar,Colony 3,Lane No. 3,2490,2,2,Furnished,4.64,0.88,3.44,15,595.2,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Baner,Pashan Link Road,Colony 2,Lane No. 3,1126,1,1,Unfurnished,3.7,1.57,5.63,18,145.39999999999998,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Kondhwa,Yewalewadi,Colony 6,Lane No. 2,2732,1,1,Semi-Furnished,2.78,0.72,4.25,4,320.6,"Yewalewadi, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Aundh,Parihar Chowk,Colony 6,Lane No. 2,2766,3,3,Furnished,2.62,1.89,1.59,1,1068.5,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Aundh,Parihar Chowk,Colony 7,Lane No. 5,2017,4,3,Furnished,2.35,1.89,4.81,14,584.4,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Hinjewadi,Phase 1,Colony 1,Lane No. 3,708,3,3,Unfurnished,3.52,0.72,2.35,2,232.10000000000002,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Aundh,Parihar Chowk,Colony 4,Lane No. 4,1915,1,1,Unfurnished,4.3,1.01,3.91,18,111.6,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Hinjewadi,Phase 1,Colony 7,Lane No. 4,2107,2,2,Furnished,2.86,1.37,2.01,9,217.60000000000002,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Viman Nagar,Mhada Colony,Colony 3,Lane No. 5,476,4,3,Semi-Furnished,0.51,0.87,2.06,1,226.29999999999998,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Aundh,ITI Road,Colony 5,Lane No. 5,601,1,1,Furnished,2.24,3.95,3.26,9,61.3,"ITI Road, Aundh, Pune, Maharashtra, India",18.5521623,73.8095846
Hinjewadi,Phase 2,Colony 5,Lane No. 2,2557,1,1,Furnished,2.69,3.89,4.92,19,360.20000000000005,"Phase 2, Hinjewadi, Pune, Maharashtra, India",18.591748,73.738707
Bibwewadi,Shree Colony,Colony 1,Lane No. 5,2915,2,2,Semi-Furnished,2.46,1.39,4.88,8,719.9,"Shree Colony, Bibwewadi, Pune, Maharashtra, India",18.494582,73.875732
Hinjewadi,Phase 2,Colony 4,Lane No. 4,2312,5,3,Unfurnished,4.95,2.21,1.14,9,1277.1,"Phase 2, Hinjewadi, Pune, Maharashtra, India",18.591748,73.738707
Bibwewadi,Vishwakarma Nagar,Colony 5,Lane No. 3,993,2,2,Furnished,1.9,2.48,2.55,4,221.6,"Vishwakarma Nagar, Bibwewadi, Pune, Maharashtra, India",18.463746,73.868518
Bibwewadi,Vishwakarma Nagar,Colony 7,Lane No. 1,1240,5,3,Semi-Furnished,2.21,2.07,5.4,10,337.40000000000003,"Vishwakarma Nagar, Bibwewadi, Pune, Maharashtra, India",18.463746,73.868518
Baner,Veerbhadra Nagar,Colony 6,Lane No. 1,2229,4,3,Unfurnished,3.44,3.91,3.21,1,862.6,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Hinjewadi,Phase 1,Colony 5,Lane No. 2,1057,1,1,Furnished,2.88,2.12,1.73,11,128.9,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Wakad,Datta Mandir Road,Colony 1,Lane No. 2,2537,2,2,Furnished,2.37,2.5,2.71,1,353.1,"Datta Mandir Road, Wakad, Pune, Maharashtra, India",18.5993668,73.7637019
Aundh,Parihar Chowk,Colony 5,Lane No. 5,1916,2,2,Semi-Furnished,4.95,0.92,1.64,2,562.9,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Hadapsar,Gadital,Colony 2,Lane No. 4,1359,3,3,Furnished,3.83,2.57,5.34,11,472.8,"Gadital, Hadapsar, Pune, Maharashtra, India",18.500313,73.939271
Hadapsar,Gadital,Colony 6,Lane No. 2,2993,4,3,Furnished,2.05,2.91,4.63,3,759.9,"Gadital, Hadapsar, Pune, Maharashtra, India",18.500313,73.939271
Kondhwa,Salisbury Park,Colony 5,Lane No. 4,2086,3,3,Semi-Furnished,4.3,0.66,4.29,10,410.5,"Salisbury Park, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Baner,Pashan Link Road,Colony 5,Lane No. 3,1933,2,2,Unfurnished,1.02,1.9,4.38,20,200.9,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Katraj,Bharti Vidyapeeth Campus,Colony 2,Lane No. 5,2627,3,3,Semi-Furnished,3.9,1.41,2.52,4,591.5,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Katraj,Gokulnagar,Colony 5,Lane No. 3,1718,5,3,Furnished,1.77,3.69,5.91,12,1128.0,"Gokulnagar, Katraj, Pune, Maharashtra, India",18.453223,73.857472
Baner,Veerbhadra Nagar,Colony 6,Lane No. 2,631,4,3,Furnished,3.46,1.02,3.62,13,139.4,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Katraj,Bharti Vidyapeeth Campus,Colony 5,Lane No. 1,1128,5,3,Unfurnished,4.61,1.98,2.47,20,747.9000000000001,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Hinjewadi,Phase 3,Colony 2,Lane No. 4,566,1,1,Semi-Furnished,2.27,2.87,2.21,13,36.9,"Phase 3, Hinjewadi, Pune, Maharashtra, India",18.595072,73.730659
Wakad,Datta Mandir Road,Colony 3,Lane No. 1,1194,5,3,Furnished,2.59,1.57,3.62,18,749.2,"Datta Mandir Road, Wakad, Pune, Maharashtra, India",18.5993668,73.7637019
Baner,Balewadi Phata,Colony 1,Lane No. 3,1469,1,1,Furnished,2.84,0.54,5.34,7,151.3,"Balewadi Phata, Baner, Pune, Maharashtra, India",18.5643011,73.7837139
Aundh,Baner Pashan Link,Colony 3,Lane No. 2,492,3,3,Furnished,2.87,1.51,5.68,15,213.29999999999998,"Baner Pashan Link, Aundh, Pune, Maharashtra, India",18.5518199,73.7943072
Wakad,Jambulkar Nagar,Colony 4,Lane No. 3,1441,4,3,Unfurnished,3.26,2.0,3.85,14,821.7,"Jambulkar Nagar, Wakad, Pune, Maharashtra, India",18.519479,73.870703
Aundh,Parihar Chowk,Colony 5,Lane No. 3,2846,2,2,Furnished,2.5,3.89,1.03,9,806.3,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Aundh,Baner Pashan Link,Colony 5,Lane No. 3,2793,1,1,Semi-Furnished,1.02,0.74,2.5,15,290.0,"Baner Pashan Link, Aundh, Pune, Maharashtra, India",18.5518199,73.7943072
Katraj,Bharti Vidyapeeth Campus,Colony 7,Lane No. 2,1821,4,3,Furnished,0.52,1.61,1.82,1,399.6,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Baner,Pashan Link Road,Colony 6,Lane No. 3,1448,4,3,Furnished,1.16,1.83,4.59,13,800.6999999999999,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Aundh,Baner Pashan Link,Colony 7,Lane No. 3,1783,3,3,Furnished,3.39,3.8,1.63,0,715.3,"Baner Pashan Link, Aundh, Pune, Maharashtra, India",18.5518199,73.7943072
Bibwewadi,Shree Colony,Colony 6,Lane No. 3,400,2,2,Unfurnished,4.59,3.27,3.61,18,94.0,"Shree Colony, Bibwewadi, Pune, Maharashtra, India",18.494582,73.875732
Hinjewadi,Phase 1,Colony 1,Lane No. 2,1440,4,3,Unfurnished,4.85,1.59,3.94,19,718.1999999999999,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Hadapsar,Amanora Park Town,Colony 3,Lane No. 2,1570,2,2,Furnished,4.56,0.75,1.42,13,400.79999999999995,"Amanora Park Town, Hadapsar, Pune, Maharashtra, India",18.477032,73.927276
Katraj,Bharti Vidyapeeth Campus,Colony 7,Lane No. 3,1174,3,3,Furnished,1.08,0.65,5.42,9,417.5,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Viman Nagar,Tingre Nagar,Colony 6,Lane No. 3,2903,4,3,Semi-Furnished,4.93,2.74,5.53,18,796.8000000000001,"Tingre Nagar, Viman Nagar, Pune, Maharashtra, India",18.564069,73.913894
Kondhwa,NIBM Road,Colony 3,Lane No. 5,2434,5,3,Semi-Furnished,2.85,1.44,5.26,17,617.7,"NIBM Road, Kondhwa, Pune, Maharashtra, India",18.4648441,73.9028846
Hinjewadi,Phase 1,Colony 3,Lane No. 3,1902,2,2,Furnished,1.64,1.43,2.14,19,357.1,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Aundh,Parihar Chowk,Colony 6,Lane No. 2,823,4,3,Semi-Furnished,0.83,2.23,2.43,19,225.3,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Baner,Pashan Link Road,Colony 3,Lane No. 2,496,4,3,Furnished,1.43,1.37,5.6,11,236.6,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Bibwewadi,Shree Colony,Colony 5,Lane No. 2,2566,4,3,Unfurnished,1.84,3.63,2.08,2,975.0,"Shree Colony, Bibwewadi, Pune, Maharashtra, India",18.494582,73.875732
Wakad,Jambulkar Nagar,Colony 4,Lane No. 2,2761,1,1,Furnished,2.46,1.84,5.99,18,349.6,"Jambulkar Nagar, Wakad, Pune, Maharashtra, India",18.519479,73.870703
Kondhwa,Yewalewadi,Colony 7,Lane No. 3,1347,2,2,Furnished,3.14,1.35,2.69,1,299.20000000000005,"Yewalewadi, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Viman Nagar,Mhada Colony,Colony 6,Lane No. 5,2678,4,3,Semi-Furnished,4.32,1.77,3.64,17,700.8,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Hadapsar,Gadital,Colony 7,Lane No. 3,1379,4,3,Semi-Furnished,4.01,2.04,2.25,6,469.90000000000003,"Gadital, Hadapsar, Pune, Maharashtra, India",18.500313,73.939271
Aundh,Baner Pashan Link,Colony 6,Lane No. 5,659,5,3,Semi-Furnished,1.14,3.63,3.54,11,233.1,"Baner Pashan Link, Aundh, Pune, Maharashtra, India",18.5518199,73.7943072
Baner,Veerbhadra Nagar,Colony 2,Lane No. 2,1585,2,2,Furnished,3.66,2.13,2.18,13,327.70000000000005,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Hinjewadi,Phase 2,Colony 7,Lane No. 5,412,5,3,Furnished,1.77,2.65,2.21,6,268.8,"Phase 2, Hinjewadi, Pune, Maharashtra, India",18.591748,73.738707
Katraj,Bharti Vidyapeeth Campus,Colony 3,Lane No. 3,2693,4,3,Furnished,1.63,2.77,5.15,18,980.5,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Katraj,Vignaharta Colony,Colony 1,Lane No. 2,488,5,3,Furnished,1.31,2.98,1.98,18,132.5,"Vignaharta Colony, Katraj, Pune, Maharashtra, India",19.169322,73.044622
Hadapsar,Amanora Park Town,Colony 1,Lane No. 3,685,3,3,Unfurnished,2.64,3.32,3.67,14,172.60000000000002,"Amanora Park Town, Hadapsar, Pune, Maharashtra, India",18.477032,73.927276
Kondhwa,Salisbury Park,Colony 6,Lane No. 5,629,3,3,Semi-Furnished,4.8,0.99,5.81,16,142.89999999999998,"Salisbury Park, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Viman Nagar,Mhada Colony,Colony 3,Lane No. 5,2928,3,3,Semi-Furnished,1.19,2.03,5.54,1,626.5999999999999,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Kothrud,Karve Nagar,Colony 1,Lane No. 2,1116,4,3,Semi-Furnished,1.64,1.67,5.32,10,502.70000000000005,"Karve Nagar, Kothrud, Pune, Maharashtra, India",18.5011478,73.814381
Baner,Pashan Link Road,Colony 2,Lane No. 5,1437,4,3,Furnished,2.08,2.83,3.87,18,331.8,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Baner,Pashan Link Road,Colony 6,Lane No. 4,1426,5,3,Furnished,1.42,3.5,3.68,9,1019.3000000000001,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Viman Nagar,Lunkad Colony,Colony 2,Lane No. 4,1003,2,2,Unfurnished,3.93,3.07,4.65,10,202.39999999999998,"Lunkad Colony, Viman Nagar, Pune, Maharashtra, India",18.541879,73.906953
Viman Nagar,Mhada Colony,Colony 5,Lane No. 4,2093,4,3,Furnished,2.33,1.25,3.02,15,1025.4,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Wakad,Kalewadi Phata,Colony 5,Lane No. 3,2645,2,2,Semi-Furnished,2.36,0.95,1.16,8,613.0,"Kalewadi Phata, Wakad, Pune, Maharashtra, India",18.6039604,73.777045
